date,time,from,to,duration,cost
2024-11-19,00:00:14,700504424075,700507921985,2.16,0.03
2024-11-19,00:02:30,700504541030,700509631955,1.41,0.02
2024-11-19,00:02:35,700503788112,700505216196,1.73,0.03
2024-11-19,00:07:23,700501904472,700505917270,0.89,0.01
2024-11-19,00:13:42,700507056394,700502344049,1.66,0.02
2024-11-19,00:26:12,700502627709,700506928140,1.95,0.03
2024-11-19,00:27:23,700505611460,700507074625,1.57,0.02
2024-11-19,00:27:40,700507350889,700503978059,1.33,0.02
2024-11-19,00:29:51,700504771688,700501595024,0.96,0.01
2024-11-19,00:40:00,700504833078,700502656965,2.09,0.03
2024-11-19,00:40:13,700505080524,700507219113,1.13,0.02
2024-11-19,00:57:29,700504716900,700508992324,0.70,0.01
2024-11-19,01:02:20,700503260160,700504646875,3.04,0.05
2024-11-19,01:11:54,700505194154,700501945417,2.74,0.04
2024-11-19,01:30:48,700505315949,700504514669,2.02,0.03
2024-11-19,01:37:13,700508983052,700506775588,1.69,0.03
2024-11-19,01:53:55,700507001070,700509728827,1.50,0.02
2024-11-19,01:59:03,700503143772,700507671936,2.11,0.03
2024-11-19,02:01:21,700504657265,700509190540,1.85,0.03
2024-11-19,02:13:54,700505737709,700507949648,1.55,0.02
2024-11-19,02:20:58,700508106048,700507679021,1.42,0.02
2024-11-19,02:37:08,700507946765,700501527094,1.49,0.02
2024-11-19,02:43:02,700507071172,700503180271,1.68,0.03
2024-11-19,02:55:38,700505386450,700507004517,2.49,0.04
2024-11-19,03:12:43,700504608344,700502946991,1.39,0.02
2024-11-19,03:19:13,700506984876,700503809564,1.73,0.03
2024-11-19,03:21:21,700509235187,700502302558,2.87,0.04
2024-11-19,03:28:45,700502880880,700506877117,1.74,0.03
2024-11-19,04:02:54,700501952331,700508381615,2.23,0.03
2024-11-19,04:09:38,700507383653,700508853582,2.18,0.03
2024-11-19,04:11:52,700504948320,700501118592,2.69,0.04
2024-11-19,04:12:06,700509381478,700508682401,2.12,0.03
2024-11-19,04:21:26,700509542767,700507683845,1.68,0.03
2024-11-19,04:22:34,700501625009,700505675808,1.91,0.03
2024-11-19,04:23:49,700503468646,700502317736,1.46,0.02
2024-11-19,04:24:53,700501605368,700504732265,2.27,0.03
2024-11-19,04:31:59,700506897811,700509989000,1.46,0.02
2024-11-19,04:45:15,700501740145,700503592481,2.86,0.04
2024-11-19,05:00:34,700506659022,700505169711,2.11,0.03
2024-11-19,05:06:13,700501032623,700507732865,2.03,0.03
2024-11-19,05:13:41,700507534124,700502945868,1.66,0.02
2024-11-19,05:45:22,700502798058,700508421831,1.42,0.02
2024-11-19,05:53:41,700503103430,700504955053,2.87,0.04
2024-11-19,05:56:51,700506127294,700509673995,2.10,0.03
2024-11-19,05:57:17,700505678389,700505734702,1.60,0.02
2024-11-19,06:08:15,700508305038,700501395721,2.34,0.04
2024-11-19,06:08:34,700505671369,700505559468,2.53,0.04
2024-11-19,06:20:22,700504879754,700504175343,1.79,0.03
2024-11-19,06:28:56,700504379371,700507022630,1.08,0.02
2024-11-19,06:45:12,700507716328,700506209789,3.53,0.05
2024-11-19,06:46:09,700509800044,700501819701,1.00,0.01
2024-11-19,06:46:27,700508912958,700509691148,2.41,0.04
2024-11-19,07:03:08,700507251002,700504802130,1.29,0.02
2024-11-19,07:35:53,700509590268,700509734562,1.86,0.03
2024-11-19,07:38:53,700504709454,700505452566,1.48,0.02
2024-11-19,07:46:35,700507441994,700501542758,1.37,0.02
2024-11-19,07:47:41,700507653762,700502434837,0.76,0.01
2024-11-19,07:51:07,700509572637,700504718385,1.81,0.03
2024-11-19,07:57:14,700502368694,700509547832,1.14,0.02
2024-11-19,08:07:24,700506042452,700505194646,1.97,0.03
2024-11-19,08:22:41,700507989644,700503955492,0.99,0.01
2024-11-19,08:24:01,700505516259,700501662793,0.96,0.01
2024-11-19,08:31:28,700502039576,700508301686,1.95,0.03
2024-11-19,08:48:55,700509647394,700504837413,3.02,0.05
2024-11-19,08:50:21,700508765118,700501080775,1.00,0.02
2024-11-19,08:50:37,700502663984,700507885844,1.57,0.02
2024-11-19,08:59:38,700506063168,700501535968,3.11,0.05
2024-11-19,09:01:41,700505951066,700505418896,2.22,0.03
2024-11-19,09:07:23,700502213042,700508029115,1.02,0.02
2024-11-19,09:14:56,700506781574,700508217224,2.33,0.03
2024-11-19,09:16:39,700506521341,700501925348,1.51,0.02
2024-11-19,09:17:52,700503819940,700509953417,2.92,0.04
2024-11-19,09:32:57,700509224879,700505146594,3.02,0.05
2024-11-19,09:33:37,700501141195,700502037863,2.32,0.03
2024-11-19,09:34:37,700509832706,700508417194,1.62,0.02
2024-11-19,09:35:26,700507682661,700501659156,1.53,0.02
2024-11-19,09:46:08,700509347518,700507000110,2.15,0.03
2024-11-19,09:46:18,700507796124,700503202289,1.70,0.03
2024-11-19,09:48:43,700501792898,700504763962,1.42,0.02
2024-11-19,09:54:24,700505210731,700509450323,2.66,0.04
2024-11-19,10:00:44,700502940111,700502288276,1.54,0.02
2024-11-19,10:17:52,700509361880,700504016117,3.00,0.05
2024-11-19,10:23:35,700503035405,700507822169,0.86,0.01
