date,time,from,to,duration,cost
2024-11-13,00:02:55,700503951024,700508675319,1.13,0.02
2024-11-13,00:03:47,700507808698,700503482444,0.81,0.01
2024-11-13,00:10:00,700507142300,700503539185,2.00,0.03
2024-11-13,00:12:08,700507891446,700508521729,2.12,0.03
2024-11-13,00:19:47,700501988987,700507449578,1.17,0.02
2024-11-13,00:20:10,700505976628,700503814379,2.00,0.03
2024-11-13,00:20:32,700503523332,700508959156,1.27,0.02
2024-11-13,00:25:10,700508718428,700505284353,1.22,0.02
2024-11-13,00:25:44,700507331760,700506831620,1.18,0.02
2024-11-13,00:32:26,700509227853,700509649413,1.59,0.02
2024-11-13,00:56:19,700504087764,700507840592,1.26,0.02
2024-11-13,01:06:07,700504559862,700508271325,2.60,0.04
2024-11-13,01:06:58,700505472146,700507987109,1.00,0.01
2024-11-13,01:15:07,700501922665,700501106872,1.98,0.03
2024-11-13,01:18:46,700503760399,700509924326,2.33,0.03
2024-11-13,01:23:12,700507547309,700506305366,1.58,0.02
2024-11-13,01:27:39,700506570196,700502427544,0.83,0.01
2024-11-13,01:29:36,700508804415,700506296651,1.54,0.02
2024-11-13,01:29:55,700509951363,700506874421,1.90,0.03
2024-11-13,01:30:20,700506573015,700502662844,0.84,0.01
2024-11-13,01:31:35,700505480016,700501310296,1.71,0.03
2024-11-13,01:36:26,700503446629,700502504461,2.37,0.04
2024-11-13,01:40:26,700509179104,700504478285,1.53,0.02
2024-11-13,01:45:31,700508027438,700505408356,1.56,0.02
2024-11-13,01:45:50,700508784153,700502550796,2.46,0.04
2024-11-13,01:51:05,700508769471,700507887754,1.72,0.03
2024-11-13,01:52:02,700504812087,700504676710,1.38,0.02
2024-11-13,01:52:30,700506192534,700503968740,2.01,0.03
2024-11-13,01:55:26,700504872872,700501968067,2.23,0.03
2024-11-13,01:56:06,700501174273,700509830059,1.50,0.02
2024-11-13,01:59:58,700503576190,700501364969,2.20,0.03
2024-11-13,02:00:23,700505311925,700505079299,1.42,0.02
2024-11-13,02:05:23,700507198946,700507364299,1.27,0.02
2024-11-13,02:16:06,700502117725,700507312792,1.03,0.02
2024-11-13,02:17:50,700506741771,700507313078,1.77,0.03
2024-11-13,02:19:04,700501333022,700507547275,1.67,0.02
2024-11-13,02:24:04,700506102473,700508071816,1.20,0.02
2024-11-13,02:32:41,700504902639,700504788562,2.14,0.03
2024-11-13,02:40:11,700506310641,700507994403,2.36,0.04
2024-11-13,02:44:58,700501798544,700506339045,4.11,0.06
2024-11-13,02:48:27,700507365488,700505955217,2.99,0.04
2024-11-13,02:50:51,700502062430,700504684750,2.67,0.04
2024-11-13,02:51:15,700506102828,700509990938,1.98,0.03
2024-11-13,02:52:50,700507161968,700503482850,0.74,0.01
2024-11-13,02:53:31,700507645640,700505193886,1.46,0.02
2024-11-13,03:01:44,700501340526,700503062205,0.85,0.01
2024-11-13,03:02:52,700507494484,700502238599,1.50,0.02
2024-11-13,03:06:29,700509366632,700502631690,2.19,0.03
2024-11-13,03:09:26,700502944324,700507903766,2.15,0.03
2024-11-13,03:09:56,700503933600,700507970109,0.87,0.01
2024-11-13,03:14:38,700509761711,700501266879,1.56,0.02
2024-11-13,03:19:57,700501005162,700509915787,2.69,0.04
2024-11-13,03:22:36,700506276072,700502977210,1.78,0.03
2024-11-13,03:31:51,700506770237,700501326487,1.15,0.02
2024-11-13,03:33:47,700506932904,700502035511,1.48,0.02
2024-11-13,03:36:49,700509184311,700508626802,2.36,0.04
2024-11-13,03:41:29,700505111601,700506229216,1.84,0.03
2024-11-13,03:42:25,700505018495,700505060939,1.15,0.02
2024-11-13,03:42:29,700506039221,700508218652,1.40,0.02
2024-11-13,03:44:02,700502081330,700504637391,1.48,0.02
2024-11-13,03:45:14,700505530942,700507121920,1.14,0.02
2024-11-13,03:48:33,700506090847,700509030063,3.48,0.05
2024-11-13,03:51:05,700502898172,700504081573,2.69,0.04
2024-11-13,03:56:52,700507176068,700503999421,3.03,0.05
2024-11-13,03:57:50,700501311013,700507627464,0.95,0.01
2024-11-13,03:58:54,700506119061,700501704519,2.58,0.04
2024-11-13,04:02:19,700506803522,700509891299,1.30,0.02
2024-11-13,04:07:25,700507081379,700508127583,1.55,0.02
2024-11-13,04:07:27,700502588754,700504610564,1.72,0.03
2024-11-13,04:18:14,700508189190,700509837311,1.99,0.03
2024-11-13,04:19:30,700504894535,700503171531,1.46,0.02
2024-11-13,04:24:20,700501064489,700503150610,1.76,0.03
2024-11-13,04:27:01,700508948841,700509701893,1.45,0.02
2024-11-13,04:27:58,700502519585,700503052126,1.19,0.02
2024-11-13,04:29:46,700504897482,700501944591,1.61,0.02
2024-11-13,04:31:29,700506283940,700504588097,1.11,0.02
2024-11-13,04:37:35,700505243192,700504808742,1.48,0.02
2024-11-13,04:41:34,700504756250,700509027478,1.36,0.02
2024-11-13,04:44:33,700507282374,700501391428,1.80,0.03
2024-11-13,04:45:55,700502780343,700502071728,1.65,0.02
2024-11-13,04:47:50,700506669917,700501954923,2.50,0.04
2024-11-13,04:48:34,700504000844,700507684309,2.13,0.03
2024-11-13,04:48:37,700504525079,700503062731,1.11,0.02
2024-11-13,04:48:43,700503960872,700504585494,2.20,0.03
2024-11-13,04:49:01,700503387736,700505011331,1.71,0.03
2024-11-13,04:55:23,700501862011,700509748340,1.43,0.02
2024-11-13,04:56:19,700504411524,700504410924,2.51,0.04
2024-11-13,05:05:31,700505769509,700508790763,2.68,0.04
2024-11-13,05:06:50,700509442714,700505739798,2.42,0.04
2024-11-13,05:07:20,700508773756,700505440342,1.50,0.02
2024-11-13,05:16:42,700506684287,700501673503,1.42,0.02
2024-11-13,05:19:41,700508365096,700509727717,0.80,0.01
2024-11-13,05:21:36,700507100515,700505045964,2.49,0.04
2024-11-13,05:22:09,700508252911,700502281322,1.42,0.02
2024-11-13,05:23:34,700504112741,700502405245,2.39,0.04
2024-11-13,05:29:12,700507837691,700508437951,2.71,0.04
2024-11-13,05:33:37,700506261062,700508593634,1.65,0.02
2024-11-13,05:34:41,700508107665,700506648408,2.25,0.03
2024-11-13,05:34:56,700505165537,700502947584,2.58,0.04
2024-11-13,05:35:45,700503090500,700502957494,1.16,0.02
2024-11-13,05:38:58,700508578488,700505285171,1.56,0.02
2024-11-13,05:42:32,700506609712,700505920080,2.09,0.03
2024-11-13,05:45:17,700504196210,700506640814,1.14,0.02
2024-11-13,05:46:29,700503083588,700502607806,1.79,0.03
2024-11-13,05:50:26,700501168447,700504268364,1.20,0.02
2024-11-13,05:58:00,700504752743,700509077606,1.17,0.02
2024-11-13,05:59:35,700508280474,700505563474,2.29,0.03
2024-11-13,06:04:04,700507499125,700502055433,1.24,0.02
2024-11-13,06:04:36,700504505231,700508540716,1.57,0.02
2024-11-13,06:04:58,700504528433,700507894085,1.22,0.02
2024-11-13,06:06:34,700505734374,700507362865,2.25,0.03
2024-11-13,06:10:05,700502715497,700501061429,1.23,0.02
2024-11-13,06:14:39,700505625111,700502503354,1.22,0.02
2024-11-13,06:16:24,700505255687,700508129362,2.12,0.03
2024-11-13,06:19:08,700504167495,700504856720,2.35,0.04
2024-11-13,06:25:24,700509737923,700503634420,1.13,0.02
2024-11-13,06:26:49,700501200532,700502633330,2.49,0.04
2024-11-13,06:37:16,700509379647,700505792795,1.54,0.02
2024-11-13,06:38:30,700508725858,700503540270,1.34,0.02
2024-11-13,06:49:25,700501238879,700504055463,1.12,0.02
2024-11-13,06:50:56,700509114622,700504002703,1.08,0.02
2024-11-13,06:57:05,700504359625,700505517638,2.02,0.03
2024-11-13,06:57:22,700502696611,700509807720,2.83,0.04
2024-11-13,06:58:58,700506251035,700504280334,2.19,0.03
2024-11-13,07:01:11,700501926036,700506633080,3.54,0.05
2024-11-13,07:07:34,700505837520,700505399090,1.82,0.03
2024-11-13,07:07:42,700509216408,700508300111,2.15,0.03
2024-11-13,07:10:45,700503204029,700501916277,1.12,0.02
2024-11-13,07:14:27,700503813872,700503958100,1.00,0.01
2024-11-13,07:15:39,700501921374,700507999549,1.31,0.02
2024-11-13,07:18:46,700502113584,700507305527,1.30,0.02
2024-11-13,07:21:37,700502439238,700509700671,2.79,0.04
2024-11-13,07:24:29,700509359944,700505787892,1.53,0.02
2024-11-13,07:25:15,700501059511,700507987151,1.26,0.02
2024-11-13,07:28:24,700501488378,700506583141,2.11,0.03
2024-11-13,07:31:02,700509440078,700501226232,2.43,0.04
2024-11-13,07:37:21,700507582892,700505526941,1.39,0.02
2024-11-13,07:49:36,700505005523,700507008602,1.73,0.03
2024-11-13,07:53:20,700501367049,700504602815,1.86,0.03
2024-11-13,07:54:29,700509760043,700507923683,1.93,0.03
2024-11-13,07:59:49,700508103598,700504964818,1.65,0.02
2024-11-13,08:02:35,700503375351,700506663795,1.66,0.02
2024-11-13,08:03:05,700508375591,700509502117,2.29,0.03
2024-11-13,08:03:08,700502277094,700504490456,1.45,0.02
2024-11-13,08:06:30,700505552097,700506074326,1.39,0.02
2024-11-13,08:08:07,700501521820,700504013511,1.86,0.03
2024-11-13,08:10:09,700506864747,700507757356,2.54,0.04
2024-11-13,08:10:47,700503208388,700506300194,1.55,0.02
2024-11-13,08:15:01,700508571528,700502940129,1.31,0.02
2024-11-13,08:15:40,700502768101,700501703597,1.29,0.02
2024-11-13,08:15:48,700509104630,700505553068,2.14,0.03
2024-11-13,08:16:36,700508894969,700509938856,2.21,0.03
2024-11-13,08:21:10,700504832725,700506902156,1.84,0.03
2024-11-13,08:23:17,700506150617,700509435796,1.21,0.02
2024-11-13,08:28:30,700501465933,700509323025,1.25,0.02
2024-11-13,08:29:19,700504788548,700507337412,2.10,0.03
2024-11-13,08:29:22,700501444075,700507284215,1.72,0.03
2024-11-13,08:29:55,700506374402,700507953168,1.41,0.02
2024-11-13,08:32:13,700505767573,700506551364,1.57,0.02
2024-11-13,08:35:07,700502272151,700501507017,3.15,0.05
2024-11-13,08:53:43,700503104068,700506494499,1.10,0.02
2024-11-13,08:54:45,700503486909,700509744603,1.42,0.02
2024-11-13,09:00:18,700501483759,700504712587,1.74,0.03
2024-11-13,09:00:18,700506379718,700505974988,0.87,0.01
2024-11-13,09:01:31,700507175761,700501818417,1.04,0.02
